ID,Nb_of_items,TOTAL_BASKET_VALUE,TOTAL_PRODUCTS
113468,1.0,4198.0,2.0
91777,2.0,5012.0,2.0
92039,1.0,10599.0,1.0
54676,2.0,4499.0,2.0
83332,2.0,3978.0,2.0
101886,2.0,3898.0,2.0
38439,1.0,4223.0,1.0
14187,9.0,4602.0,9.0
37241,2.0,4139.0,2.0
94322,2.0,5012.0,2.0
96498,2.0,5019.0,2.0
9305,10.0,7764.0,12.0
52900,1.0,8260.0,1.0
8489,2.0,4098.0,3.0
41396,1.0,3999.0,1.0
59817,4.0,5157.0,4.0
46781,2.0,5897.0,3.0
83492,1.0,4798.0,2.0
9740,2.0,4506.0,2.0
30141,2.0,4139.0,2.0
78747,2.0,5178.0,2.0
6240,4.0,4844.0,4.0
39262,2.0,4498.0,2.0
103181,2.0,4450.0,3.0
28261,18.0,4989.0,22.0
47578,5.0,5291.0,9.0
44752,3.0,4023.0,3.0
103404,1.0,11499.0,1.0
77466,1.0,4299.0,1.0
108080,3.0,5163.0,3.0
113068,2.0,4144.0,2.0
97563,2.0,4698.0,2.0
107677,11.0,4599.0,13.0
98410,2.0,4924.0,2.0
103970,2.0,4378.0,2.0
87471,2.0,4698.0,2.0
114690,3.0,5997.0,3.0
29233,1.0,8000.0,1.0
56593,1.0,4299.0,1.0
98547,1.0,4405.0,1.0
96645,2.0,4298.0,2.0
72928,31.0,4661.0,31.0
104013,1.0,4499.0,1.0
49083,2.0,3998.0,2.0
110039,18.0,5023.0,38.0
56492,1.0,5998.0,2.0
49272,2.0,7097.0,2.0
39078,8.0,4303.0,10.0
99435,2.0,5344.0,2.0
113103,1.0,7099.0,1.0
55913,1.0,4798.0,2.0
89987,2.0,6598.0,2.0
74498,4.0,4047.0,4.0
10088,2.0,3999.0,2.0
59715,1.0,5799.0,1.0
88870,2.0,5278.0,2.0
